,id
0,10016212281
1,10006828619
2,9995563010
3,9984187254
4,9978422018
5,9971958248
6,9971957772
7,9965043232
8,9957999970
9,9957998721
10,9939802653
11,9933791721
12,9927103494
13,9919975714
14,9893694843
15,9888868702
16,9882992587
17,9876079067
18,9855741829
19,9850629317
20,9840997774
21,9827851210
22,9822904571
23,9816834848
24,9811288116
25,9801556587
26,9795479023
27,9788322994
28,9784117073
29,9777333053
30,9764229125
31,9744164009
32,9732845417
33,9707039692
34,9698330316
35,9692608320
36,9671956681
37,9665473596
38,9659097091
39,9651688339
40,9645392881
41,9625731999
42,9619226019
43,9612501945
44,9605637875
45,9599909621
46,9581640121
47,9574662561
48,9568125034
49,9516715905
50,9487083410
51,9484847960
52,9473897463
53,9469207311
54,9451612797
55,9447066048
56,9440588598
57,9433314637
58,9426817084
59,9407899235
60,9407748450
61,9400736396
62,9394443326
63,9389163892
64,9383838183
65,9376157665
66,9369658806
67,9365478633
68,9359950371
69,9347431801
70,9341271224
71,9328265477
72,9315725891
73,9311355179
74,9298041208
75,9292411021
76,9279472441
77,9279300402
78,9273438393
79,9267603772
80,9261288078
81,9259253634
82,9258879149
83,9254632311
84,9240016886
85,9240016398
86,9240014345
87,9240012909
88,9222738213
89,9217248071
90,9216372773
91,9210259922
92,9203048260
93,9195693358
94,9185062937
95,9179239414
96,9172468803
97,9166046999
98,9159156663
99,9146446596
100,9146370760
101,9138235397
102,9134841414
103,9127523668
104,9121698511
105,9116553075
106,9102729006
107,9097521399
108,9089552781
109,9085384121
110,9078268977
111,9078148873
112,9055041333
113,9048595441
114,9042446363
115,9036256935
116,9029351348
117,9022907017
118,9011906558
119,9005276391
120,8999159524
121,8993297791
122,8985729097
123,8973877111
124,8967936310
125,8961946588
126,8955162154
127,8950135726
128,8946098423
129,8933319679
130,8927180344
131,8921946221
132,8915307196
133,8909460172
134,8891796082
135,8885873542
136,8879705626
137,8875392009
138,8869251524
139,8862861001
140,8857166258
141,8849667738
142,8834354201
143,8828116209
144,8821557138
145,8815449705
146,8806111423
147,8799988893
148,8794698723
149,8789089604
150,8771323929
151,8766877503
152,8760859967
153,8749434921
154,8726475508
155,8721204362
156,8715744482
157,8710745438
158,8698197610
159,8693453841
160,8688907431
161,8683360176
162,8677673116
163,8672944578
164,8672611987
165,8655132144
166,8650266138
167,8644587607
168,8639260773
169,8633145882
170,8611884034
171,8606708676
172,8600932618
173,8600850460
174,8594917333
175,8587870096
176,8587667353
177,8578513389
178,8573739485
179,8567397324
180,8562727659
181,8556464236
182,8545358774
183,8538434119
184,8534745466
185,8529443857
186,8522824035
187,8517243835
188,8517243161
189,8504441796
190,8499814764
191,8495754250
192,8490538352
193,8484883685
194,8484745146
195,8479818986
196,8465791898
197,8461910392
198,8457098599
199,8452224343
0,8446679630
1,8439721111
2,8429193772
3,8424857940
4,8419959787
5,8415022100
6,8409055741
7,8403997888
8,8398211855
9,8397964746
10,8387758742
11,8382922540
12,8377330507
13,8371717528
14,8366744076
15,8361203713
16,8349952043
17,8345023058
18,8339517521
19,8334285682
20,8329288562
21,8323038910
22,8318058695
23,8314003228
24,8304820435
25,8300432096
26,8290365391
27,8287265002
28,8283247244
29,8280431309
30,8276678772
31,8272535392
32,8272535301
33,8264840790
34,8264742904
35,8256810166
36,8253528404
37,8245669298
38,8241317810
39,8229088227
40,8225784809
41,8221018861
42,8217650720
43,8217650717
44,8212453296
45,8208589520
46,8203727142
47,8203727133
48,8203727114
49,8191621998
50,8187238246
51,8182235363
52,8182235331
53,8160150145
54,8155361427
55,8151030129
56,8146441132
57,8141884509
58,8137158637
59,8132627372
60,8132355459
61,8124106588
62,8119355717
63,8119355702
64,8088332251
65,8083176906
66,8079471189
67,8068964123
68,8068964116
69,8055576307
70,8050185517
71,8044302453
72,8034000587
73,8029975644
74,8024916101
75,8019342575
76,8014397326
77,8014397281
78,8014397301
79,7995086512
80,7990214715
81,7985428379
82,7979518267
83,7979517970
84,7962893212
85,7959299281
86,7959299285
87,7959299382
88,7954296350
89,7949259794
90,7943814572
91,7939267017
92,7927920375
93,7923110121
94,7918414987
95,7918414980
96,7906191054
97,7901583312
98,7901583230
99,7891913019
100,7887509906
101,7881485870
102,7877830728
103,7872000948
104,7867936072
105,7860502925
106,7851566640
107,7846435025
108,7841605387
109,7835158574
110,7829208307
111,7817521073
112,7814760129
113,7809401836
114,7803664451
115,7798186339
116,7785525706
117,7781716408
118,7777108383
119,7772120351
120,7767086065
121,7767086089
122,7767086080
123,7744120120
124,7744120183
125,7733338456
126,7733338470
127,7700419004
128,7697533691
129,7697533117
130,7697532478
131,7697532128
132,7676993625
133,7671148736
134,7661938174
135,7655951082
136,7643729354
137,7639108992
138,7627852888
139,7617909397
140,7612343504
141,7605977133
142,7605386863
143,7605385250
144,7549296930
145,7549296287
146,7549295861
147,7549295303
148,7501678752
149,7496684204
150,7490027394
151,7480345431
152,7475135473
153,7468783204
154,7459486964
155,7453924352
156,7447936857
157,7442268337
158,7437706104
159,7432748111
160,7427666085
161,7421954219
162,7421602405
163,7416233723
164,7409993831
165,7404375396
166,7399870148
167,7395320176
168,7395319816
169,7390401164
170,7389902513
171,7389902443
172,7384818542
173,7384553991
174,7379317731
175,7367779138
176,7363091019
177,7362922978
178,7358660325
179,7358463108
180,7352895855
181,7352638274
182,7352524704
183,7350407967
184,7342208546
185,7341104282
186,7335189040
187,7326034820
188,7325431689
189,7325431372
190,7315990079
191,7304622665
192,7299034268
193,7292234833
194,7287926248
195,7283209084
196,7282464979
197,7277894545
198,7261210263
199,7245291707
0,7237638521
1,7234907479
2,7228758859
3,7224099974
4,7218344699
5,7179587226
6,7171648251
7,7166675139
8,7154916883
9,7143434657
10,7133136466
11,7133025525
12,7127900671
13,7121969262
14,7116458201
15,7111449419
16,7099546136
17,7094732292
18,7089438915
19,7085248120
20,7077988109
21,7062071768
22,7056021664
23,7052639785
24,7046712057
25,7041200880
26,7035044022
27,7024937010
28,7020510777
29,7015258111
30,7009700149
31,7004644328
32,6983291404
33,6977793805
34,6966265476
35,6951773290
36,6942779209
37,6937587715
38,6932738211
39,6926091020
40,6917539822
41,6913502235
42,6907498892
43,6904274850
44,6895845332
45,6886421674
46,6877797182
47,6872684233
48,6863649542
49,6858501837
50,6849835953
51,6845169227
52,6835800184
53,6830789366
54,6825189296
55,6820712457
56,6814345270
57,6805240312
58,6797043556
59,6795067469
60,6789848407
61,6769312477
62,6764870542
63,6759449303
64,6754061766
65,6742522507
66,6733856021
67,6729396049
68,6724528197
69,6718717428
70,6712135630
71,6708815582
72,6699460962
73,6694671366
74,6689591048
75,6683729889
76,6667966076
77,6664140240
78,6658899949
79,6653353445
80,6647988601
81,6632209461
82,6627986131
83,6623045361
84,6609514085
85,6601923761
86,6592352751
87,6587272504
88,6582301463
89,6576877944
90,6572219564
91,6565761006
92,6556096899
93,6551101346
94,6545744192
95,6541169630
96,6529773104
97,6524711421
98,6519829362
99,6514955025
100,6503562098
101,6493436944
102,6484077795
103,6478724574
104,6474137832
105,6468772697
106,6457010117
107,6452964275
108,6442496042
109,6393201866
110,6386754321
111,6382556153
112,6380894530
113,6368099926
114,6364721341
115,6358562496
116,6356762166
117,6352587859
118,6348489598
119,6348489443
120,6339167286
121,6333904871
122,6332265190
123,6327695126
124,6323497045
125,6319850648
126,6306970396
127,6301002709
128,6299049799
129,6294657213
130,6278708584
131,6274567234
132,6272308149
133,6265449642
134,6260985080
135,6242932766
136,6241015427
137,6236427447
138,6231412576
139,6217154236
140,6208599412
141,6201005712
142,6196530325
143,6194104705
144,6189835588
145,6176293698
146,6171676290
147,6166756551
148,6152072381
149,6149669381
150,6145224737
151,6135662698
152,6130934413
153,6123669764
154,6123525748
155,6123464432
156,6118500866
157,6109756279
158,6101933499
159,6099896505
160,6076948576
161,6074918104
162,6066841090
163,6062016496
164,6042455491
165,6040364975
166,6032252465
167,6027161553
168,6019326962
169,6014339215
170,6009007642
171,6000996243
172,5995467254
173,5990361792
174,5977670237
175,5972356129
176,5965175665
177,5953199645
178,5939701019
179,5934807167
180,5929763974
181,5924075634
182,5900809934
183,5896904496
184,5890809973
185,5885467592
186,5885137338
187,5879082229
188,5863950360
189,5859218764
190,5853763657
191,5847520331
192,5842495083
193,5825946864
194,5821067108
195,5818098347
196,5815699476
197,5804265383
198,5787866234
199,5783620797
0,5776297704
1,5772699412
2,5758853482
3,5750410557
4,5740377305
5,5735175604
6,5735077707
7,5728928772
8,5713329937
9,5703513415
10,5703338747
11,5698020487
12,5693357615
13,5686841946
14,5676518308
15,5671778037
16,5664823642
17,5654185186
18,5638909524
19,5633806543
20,5565733254
21,5560058468
22,5554215757
23,5549420628
24,5545512088
25,5528088779
26,5525210690
27,5519604289
28,5519405861
29,5513792357
30,5492692239
31,5492415487
32,5487741554
33,5482573251
34,5471646872
35,5448019778
36,5437694761
37,5431611639
38,5413394300
39,5403837645
40,5397331100
41,5391320188
42,5373437603
43,5369005403
44,5363798845
45,5358675721
46,5357931763
47,5352289456
48,5340826688
49,5335683743
50,5325671228
51,5320430365
52,5313699677
53,5296852005
54,5291883344
55,5285057593
56,5278157571
57,5247210159
58,5237194093
59,5214820639
60,5210895183
61,5205093412
62,5196683003
63,5179739192
64,5169370331
65,5163867163
66,5156608015
67,5152337963
68,5139234747
69,5133993504
70,5127986917
71,5121828473
72,5115615460
73,5095684033
74,5093004935
75,5087045370
76,5078917328
77,5074876104
78,5011166637
79,5004418150
80,4992825114
81,4987694582
82,4975447653
83,4970468207
84,4964728826
85,4957528338
86,4952868127
87,4935645950
88,4929923924
89,4925668855
90,4920636848
91,4915185469
92,4901894948
93,4894973720
94,4886529054
95,4880666958
96,4874146922
97,4860987639
98,4855077172
99,4854893423
100,4850701851
101,4845169334
102,4838630993
103,4832500182
104,4827427464
105,4809641756
106,4804756058
107,4799257614
108,4792927722
109,4783185509
110,4773163688
111,4767157186
112,4763079712
113,4756274364
114,4747434122
115,4741205103
116,4734128026
117,4730136600
118,4724827491
119,4718449246
120,4707904863
121,4702683752
122,4697880004
123,4697090333
124,4691366730
125,4684363148
126,4681572902
127,4676730531
128,4670974590
129,4664901973
130,4659292830
131,4654675027
132,4648822139
133,4643647780
134,4632067500
135,4626041247
136,4620671164
137,4616918075
138,4612179691
139,4603864941
140,4601727285
141,4595027697
142,4589564300
143,4584977254
144,4579063556
145,4573463381
146,4565923712
147,4551706506
148,4545915819
149,4536718987
150,4517342532
151,4513706567
152,4509937522
153,4506326857
154,4501972950
155,4498529130
156,4492718676
157,4484917666
158,4479520037
159,4476585460
160,4472934653
161,4472843503
162,4468614284
163,4468614083
164,4464258507
165,4464175522
166,4447470450
167,4443800257
168,4443766710
169,4433872817
170,4428490221
171,4426687692
172,4416547886
173,4414219567
174,4410131989
175,4403171889
176,4402983140
177,4395781145
178,4395762133
179,4395672341
180,4388621298
181,4386058345
182,4385898009
183,4381362900
184,4381303295
185,4376927496
186,4364591178
187,4364471732
188,4361668103
189,4280596333
190,4262058950
191,4224257664
192,4215572416
193,4192009064
194,4132992629
195,3557682383
196,3547418838
197,3517497833
198,3516568449
199,3509004014
0,3496090180
1,3483200309
